date,previous_date,portfolio_value,portfolio_volatility,parametric_var_return,parametric_var_dollar
2022-09-01,2022-08-31,10000000.0,0.045295337145705196,0.07450419958810292,745041.9958810292
2022-09-02,2022-09-01,9910863.084908051,0.04519233962366258,0.07433478374040411,736721.8640973944
2022-09-06,2022-09-02,9765568.814044613,0.044970493591667826,0.07396987949005275,722357.9483266975
2022-09-07,2022-09-06,9545855.815239774,0.045054438584433296,0.07410795671586745,707423.8695717008
2022-09-08,2022-09-07,9866089.355528995,0.04511296050124561,0.07420421670299233,732105.4325487595
2022-09-09,2022-09-08,10073299.088432483,0.04510043065968203,0.07418360694765135,747273.6602424099
2022-09-12,2022-09-09,10561095.858705463,0.045559597060393024,0.07493886846723509,791436.57342539
2022-09-13,2022-09-12,10936069.526943505,0.04606305111416468,0.07576697669358481,828592.9249673516
2022-09-14,2022-09-13,10219278.640886892,0.045847076406501874,0.07541172991235587,770653.4807656694
2022-09-15,2022-09-14,10285957.397098104,0.04554919367319429,0.07492175641806867,770641.9946320157
2022-09-16,2022-09-15,10403226.93156138,0.04555989299548499,0.07493935523714446,779611.1186369066
2022-09-19,2022-09-16,10069695.93734168,0.04507341646736006,0.0741391725554314,746558.9246793014
2022-09-20,2022-09-19,10272395.238878025,0.04468088691632861,0.07349351889973169,754954.4736339959
2022-09-21,2022-09-20,9802091.920171957,0.04458480606743268,0.07333547996694464,718841.1156459205
2022-09-22,2022-09-21,9612777.29183756,0.044429608989922556,0.07308020349110984,702503.7206022086
2022-09-23,2022-09-22,9088915.013723046,0.04404714673151802,0.0724511090582011,658501.9728799697
2022-09-26,2022-09-23,8902873.753148405,0.043774831967212845,0.07200319113046129,641035.3204583118
2022-09-27,2022-09-26,8615478.021966236,0.043685583454185134,0.07185639039010763,619077.1521437982
2022-09-28,2022-09-27,8845779.858522119,0.043619058781093206,0.07174696704029061,634657.875955053
2022-09-29,2022-09-28,9183085.897106625,0.04318254197825072,0.07102896079390988,652265.0481526932
2022-09-30,2022-09-29,8628969.85637097,0.042627847350218455,0.07011656932314052,605033.7631215251
2022-10-03,2022-09-30,8418017.28615826,0.04188985415755571,0.06890267854352371,580023.9390419885
2022-10-04,2022-10-03,8693006.964426368,0.0420786802379122,0.0692132698066611,601671.4364600263
2022-10-05,2022-10-04,9201864.703786252,0.04205676537596514,0.06917722306650334,636559.4472416053
2022-10-06,2022-10-05,8976931.371761924,0.041079011293275576,0.06756896071732481,606561.9232207021
2022-10-07,2022-10-06,8833166.651424365,0.04050168481101795,0.06661934315904822,588459.7603323007
2022-10-10,2022-10-07,8608165.781962337,0.04009155900354929,0.065944746237127,567663.3080586263
2022-10-11,2022-10-10,8305283.356284683,0.03976343885312506,0.06540503661762584,543207.3620375581
2022-10-12,2022-10-11,8220955.169655784,0.03866377174092661,0.06359624517968697,522821.8805806443
2022-10-13,2022-10-12,8266355.698303169,0.03880556226536912,0.06382946983808357,527637.1017157123
2022-10-14,2022-10-13,8229014.32980892,0.0386017548816972,0.06349423652385133,522494.9822150495
2022-10-17,2022-10-14,7865238.579174562,0.038512767014178564,0.06334786450720863,498246.0678304203
2022-10-18,2022-10-17,8309529.572625647,0.03856436681997167,0.0634327386349174,527096.2175594795
2022-10-19,2022-10-18,8475385.571800193,0.03725773129869746,0.06128351445864589,519401.4142320159
2022-10-20,2022-10-19,8047921.131607957,0.036420618239675094,0.05990658600734451,482123.47945099743
2022-10-21,2022-10-20,8038114.597897899,0.03610435516414225,0.059386379540483494,477354.52430066554
2022-10-24,2022-10-21,8176419.805981873,0.0357457010814469,0.058796446071741094,480744.42618232896
2022-10-25,2022-10-24,8124296.558224041,0.03539854822615261,0.05822543043860372,473040.6641134615
2022-10-26,2022-10-25,8585772.031449905,0.03577182656982184,0.05883941867605049,505181.8352156055
2022-10-27,2022-10-26,8481233.015316255,0.03570498734752397,0.058729477938831216,498098.38726710295
2022-10-28,2022-10-27,8434569.515798034,0.03567418198168494,0.05867880762110132,494930.4819843186
2022-10-31,2022-10-28,8727216.804063976,0.03574965439946078,0.05880294870121471,513186.082033753
2022-11-01,2022-10-31,8774433.100745654,0.035801682604606797,0.05888852748315291,516713.44480234705
2022-11-02,2022-11-01,8922225.658638278,0.03573910431264839,0.05878559535265669,524498.3472138006
2022-11-03,2022-11-02,8435588.836819543,0.035774851481365805,0.058844394212774785,496387.1149306915
2022-11-04,2022-11-03,8445473.101478592,0.03510640229286345,0.05774489314063392,487682.9417669794
2022-11-07,2022-11-04,7906678.758059866,0.03406968303504597,0.0560396417092824,443087.4447120688
2022-11-08,2022-11-07,8011890.26207373,0.03361020978866228,0.05528387547348102,442928.3435556793
2022-11-09,2022-11-08,8043952.324439615,0.032994971147835644,0.05427189796367663,436560.5597766662
2022-11-10,2022-11-09,7640113.384689374,0.0329954238012101,0.05427264251222136,414649.1424800839
2022-11-11,2022-11-10,8522095.78712951,0.035823496676948924,0.05892440843916344,502159.4529184933
2022-11-14,2022-11-11,9044516.296930967,0.036924880631920155,0.060736023832164025,549327.9573607951
2022-11-15,2022-11-14,8768759.117851237,0.036680705599760666,0.0603343916449055,529057.7468562726
2022-11-16,2022-11-15,9078945.653473025,0.03645685511169534,0.05996619035771639,544429.7833035252
2022-11-17,2022-11-16,8642136.21533389,0.03632030246279836,0.05974158123790836,516294.8827774395
2022-11-18,2022-11-17,8795362.682145962,0.035561304336751844,0.05849314041743138,514468.38438899966
2022-11-21,2022-11-18,8744073.175252141,0.03523351531114007,0.05795397544977897,506753.80212963343
2022-11-22,2022-11-21,8502188.19172071,0.03483118508792951,0.05729220112289888,487109.0758647988
2022-11-23,2022-11-22,8795456.055794125,0.03472849483830131,0.05712329069334538,502425.3930556728
2022-11-25,2022-11-23,8953961.63792393,0.034471189158526996,0.05670006051273339,507690.1666989802
2022-11-28,2022-11-25,8936060.066386767,0.03423787285295861,0.05631628934129231,503245.74426980497
2022-11-29,2022-11-28,8727896.347131198,0.03378597367576065,0.05557298134066187,485035.22084235295
