date,previous_date,portfolio_value,historical_var_return_100,historical_var_dollar_100,bootstrap_ci_lower_return_100,bootstrap_ci_upper_return_100,bootstrap_ci_lower_dollar_100,bootstrap_ci_upper_dollar_100,bootstrap_std_return_100,bootstrap_std_dollar_100,ci_width_return_100,ci_width_dollar_100
2022-09-01,2022-08-31,10000000.0,0.07139069197561183,713906.9197561183,0.055619762822040696,0.07978074264298464,556197.628220407,797807.4264298464,0.006373024803058841,63730.24803058842,0.024160979820943944,241609.7982094395
2022-09-02,2022-09-01,9910863.084908051,0.07133636304582361,707004.9271224521,0.055142740342565826,0.09174620339684153,546512.1496618056,909284.0604262224,0.006868548338868922,68073.24217860252,0.036603463054275705,362771.9107644168
2022-09-06,2022-09-02,9765568.814044613,0.07105203561012607,693863.5431286346,0.05474735462340376,0.07896884470316869,534639.0589617529,771175.6871143962,0.006402264034342294,62521.74999305256,0.02422149007976493,236536.62815264333
2022-09-07,2022-09-06,9545855.815239774,0.07153401911717677,682853.4323771751,0.05542819587812382,0.07887130434554909,529109.5659514376,752894.0992425059,0.006148582792960226,58693.48480966259,0.02344310846742527,223784.53329106828
2022-09-08,2022-09-07,9866089.355528995,0.07197083927021466,710070.7312323531,0.05535168368838921,0.0786993793499279,546104.6572486247,776455.1088910621,0.00636421752444457,62789.93877419367,0.023347695661538694,230350.45164243737
2022-09-09,2022-09-08,10073299.088432483,0.07177139546905346,722974.7325539435,0.05532465181555355,0.07923896185806345,557301.7647014601,798197.7622531669,0.006370352163182602,64170.46263838121,0.0239143100425099,240895.99755170674
2022-09-12,2022-09-09,10561095.858705463,0.0717930418892424,758213.1973803458,0.05574652167253929,0.08002888020159439,588744.359173089,845192.6752738941,0.006441856460051609,68033.06358262608,0.024282358529055102,256448.31610080507
2022-09-13,2022-09-12,10936069.526943505,0.07272898688739454,795369.2572247091,0.05548531520786183,0.08144401407252036,606791.2648375528,890677.4004504479,0.00635584899424897,69508.00650386068,0.025958698864658528,283886.13561289513
2022-09-14,2022-09-13,10219278.640886892,0.07214715673296919,737291.8978019509,0.05825052517712726,0.08078335593953821,595278.3477630607,825547.6238920861,0.006176183714180572,63116.14231251899,0.02253283076241095,230269.27612902538
2022-09-15,2022-09-14,10285957.397098104,0.07233502550569652,744034.9906695992,0.058066524278784136,0.08123096567155759,597269.7949291363,835538.2522227799,0.006164677439623502,63409.60951081916,0.023164441392773454,238268.45729364362
