date,portfolio_value,portfolio_loss,method,var_dollar
2024-08-02,14202948.668603607,891343.2024902161,Parametric VaR — 100-day,807196.0882422586
2024-12-18,19497668.761500977,1227158.966216743,Parametric VaR — 100-day,807196.0882422586
2025-02-20,21584333.287564486,1198731.5367494933,Parametric VaR — 100-day,807196.0882422586
2025-02-21,20089636.52001195,1494696.767552536,Parametric VaR — 100-day,807196.0882422586
2025-02-27,19122678.73791581,947632.7093791403,Parametric VaR — 100-day,807196.0882422586
2025-03-03,18504407.313604474,1012678.2255971469,Parametric VaR — 100-day,807196.0882422586
2025-03-06,17185774.994112987,1328500.1783576012,Parametric VaR — 100-day,807196.0882422586
2025-03-10,16061866.421539605,1056390.7810176723,Parametric VaR — 100-day,807196.0882422586
2025-03-18,15547192.825771082,874026.6649207361,Parametric VaR — 100-day,807196.0882422586
2025-04-03,14657688.769302184,2839984.9476682376,Parametric VaR — 100-day,807196.0882422586
2025-04-10,15728246.400017586,1017456.0329082534,Parametric VaR — 100-day,807196.0882422586
2025-06-12,20418963.4458099,950575.5257497951,Parametric VaR — 100-day,807196.0882422586
2025-06-13,19537579.332532723,881384.1132771783,Parametric VaR — 100-day,807196.0882422586
2025-08-01,23203829.978793193,1085369.1703930423,Parametric VaR — 100-day,807196.0882422586
2025-10-10,22195320.20457371,1602848.635426484,Parametric VaR — 100-day,807196.0882422586
2025-10-22,22746795.60363754,840826.5767888688,Parametric VaR — 100-day,807196.0882422586
2025-10-30,22118414.079119585,1721639.451370947,Parametric VaR — 100-day,807196.0882422586
2025-11-04,22052746.947212912,1029852.4045795463,Parametric VaR — 100-day,807196.0882422586
2025-11-06,21334559.538280774,824831.8302186616,Parametric VaR — 100-day,807196.0882422586
2025-11-20,21311604.268594734,830645.9287766181,Parametric VaR — 100-day,807196.0882422586
2026-01-28,25342080.673135854,2229785.4742146395,Parametric VaR — 100-day,807196.0882422586
2026-01-30,24666289.480725847,1111824.1193123013,Parametric VaR — 100-day,807196.0882422586
2026-02-11,23262704.865918003,953907.1753008477,Parametric VaR — 100-day,807196.0882422586
2026-02-12,22338225.668833144,924479.197084859,Parametric VaR — 100-day,807196.0882422586
2026-02-19,22053635.032923505,1192362.4596549347,Parametric VaR — 100-day,807196.0882422586
2026-03-12,20148386.06654105,809055.8956568167,Parametric VaR — 100-day,807196.0882422586
2026-06-17,22753325.499686144,1359785.6683015414,Parametric VaR — 100-day,807196.0882422586
2024-08-02,14202948.668603607,891343.2024902161,Historical VaR — 100-day,703172.2100280337
2024-12-18,19497668.761500977,1227158.966216743,Historical VaR — 100-day,703172.2100280337
2025-02-20,21584333.287564486,1198731.5367494933,Historical VaR — 100-day,703172.2100280337
2025-02-21,20089636.52001195,1494696.767552536,Historical VaR — 100-day,703172.2100280337
2025-02-27,19122678.73791581,947632.7093791403,Historical VaR — 100-day,703172.2100280337
2025-03-03,18504407.313604474,1012678.2255971469,Historical VaR — 100-day,703172.2100280337
2025-03-06,17185774.994112987,1328500.1783576012,Historical VaR — 100-day,703172.2100280337
2025-03-10,16061866.421539605,1056390.7810176723,Historical VaR — 100-day,703172.2100280337
2025-03-13,15374892.753732244,803783.3036967926,Historical VaR — 100-day,703172.2100280337
2025-03-18,15547192.825771082,874026.6649207361,Historical VaR — 100-day,703172.2100280337
2025-04-03,14657688.769302184,2839984.9476682376,Historical VaR — 100-day,703172.2100280337
2025-04-10,15728246.400017586,1017456.0329082534,Historical VaR — 100-day,703172.2100280337
2025-04-21,15185177.192393955,723611.773383094,Historical VaR — 100-day,703172.2100280337
2025-06-12,20418963.4458099,950575.5257497951,Historical VaR — 100-day,703172.2100280337
2025-06-13,19537579.332532723,881384.1132771783,Historical VaR — 100-day,703172.2100280337
2025-07-24,22483654.303743016,711971.8131222166,Historical VaR — 100-day,703172.2100280337
2025-08-01,23203829.978793193,1085369.1703930423,Historical VaR — 100-day,703172.2100280337
2025-09-30,24940310.32442677,772562.0487945601,Historical VaR — 100-day,703172.2100280337
2025-10-10,22195320.20457371,1602848.635426484,Historical VaR — 100-day,703172.2100280337
2025-10-22,22746795.60363754,840826.5767888688,Historical VaR — 100-day,703172.2100280337
2025-10-30,22118414.079119585,1721639.451370947,Historical VaR — 100-day,703172.2100280337
2025-11-04,22052746.947212912,1029852.4045795463,Historical VaR — 100-day,703172.2100280337
2025-11-06,21334559.538280774,824831.8302186616,Historical VaR — 100-day,703172.2100280337
2025-11-20,21311604.268594734,830645.9287766181,Historical VaR — 100-day,703172.2100280337
2026-01-14,27528200.544660717,723117.6764918566,Historical VaR — 100-day,703172.2100280337
2026-01-16,27105218.358238257,756383.9271366708,Historical VaR — 100-day,703172.2100280337
2026-01-28,25342080.673135854,2229785.4742146395,Historical VaR — 100-day,703172.2100280337
2026-01-30,24666289.480725847,1111824.1193123013,Historical VaR — 100-day,703172.2100280337
2026-02-05,23742975.96358412,728369.8640951477,Historical VaR — 100-day,703172.2100280337
2026-02-11,23262704.865918003,953907.1753008477,Historical VaR — 100-day,703172.2100280337
2026-02-12,22338225.668833144,924479.197084859,Historical VaR — 100-day,703172.2100280337
2026-02-19,22053635.032923505,1192362.4596549347,Historical VaR — 100-day,703172.2100280337
2026-02-23,21474061.991896518,787127.001464732,Historical VaR — 100-day,703172.2100280337
2026-02-27,21816063.5601499,796485.0507268235,Historical VaR — 100-day,703172.2100280337
2026-03-12,20148386.06654105,809055.8956568167,Historical VaR — 100-day,703172.2100280337
2026-03-18,20113287.801588845,798582.3977113105,Historical VaR — 100-day,703172.2100280337
2026-03-20,19536964.676262356,748183.9055843465,Historical VaR — 100-day,703172.2100280337
2026-06-02,23055566.81823566,805424.5679279044,Historical VaR — 100-day,703172.2100280337
2026-06-17,22753325.499686144,1359785.6683015414,Historical VaR — 100-day,703172.2100280337
2026-07-23,22059825.42357315,737423.8516727015,Historical VaR — 100-day,703172.2100280337
2026-07-30,22621978.08735119,712634.355261121,Historical VaR — 100-day,703172.2100280337
2024-12-18,19497668.761500977,1227158.966216743,Historical VaR — 500-day,892488.9864704744
2025-02-20,21584333.287564486,1198731.5367494933,Historical VaR — 500-day,892488.9864704744
2025-02-21,20089636.52001195,1494696.767552536,Historical VaR — 500-day,892488.9864704744
2025-02-27,19122678.73791581,947632.7093791403,Historical VaR — 500-day,892488.9864704744
2025-03-03,18504407.313604474,1012678.2255971469,Historical VaR — 500-day,892488.9864704744
